area_type,location,bath,price,bhk,area,price_per_sqft
Super built-up  Area,Cambridge Layout,3.0,210.0,3,2098.0,10009.532888465204
Built-up  Area,Canara Bank Colony,2.0,45.0,2,1000.0,4500.0
Built-up  Area,Canara Bank Colony,2.0,35.0,2,900.0,3888.8888888888887
Super built-up  Area,Canara Bank Colony,2.0,90.0,3,1600.0,5625.0
Super built-up  Area,Canara Bank Layout,3.0,90.0,3,1600.0,5625.0
Built-up  Area,Canara Bank Layout,3.0,65.0,3,1450.0,4482.758620689655
Super built-up  Area,Carmelaram,4.0,155.0,3,2515.0,6163.021868787277
Super built-up  Area,Carmelaram,3.0,99.0,3,1770.0,5593.220338983051
Built-up  Area,Celebrity Paradise Layout,1.0,22.49,1,532.0,4227.443609022556
Built-up  Area,Challaghatta,3.0,123.0,3,1639.0,7504.5759609518
Super built-up  Area,Chamrajpet,2.0,120.0,3,1475.0,8135.593220338983
Super built-up  Area,Chamrajpet,2.0,170.0,4,1900.0,8947.368421052632
Super built-up  Area,Chamrajpet,2.0,180.0,2,1350.0,13333.333333333334
Built-up  Area,Chamrajpet,2.0,162.0,2,1050.0,15428.57142857143
Plot  Area,Chamrajpet,4.0,211.0,4,1660.4,12707.781257528306
Built-up  Area,Chamrajpet,1.0,85.0,1,505.0,16831.68316831683
Built-up  Area,Chamrajpet,3.0,98.91,3,1565.0,6320.127795527156
Super built-up  Area,Chamrajpet,1.0,52.0,2,730.0,7123.287671232877
Super built-up  Area,Chamrajpet,1.0,40.0,2,650.0,6153.846153846154
Super built-up  Area,Chamrajpet,2.0,45.0,2,650.0,6923.076923076923
Super built-up  Area,Chamrajpet,3.0,115.0,3,1650.0,6969.69696969697
Built-up  Area,Chamundi Nagar,7.0,250.0,7,2800.0,8928.57142857143
Built-up  Area,Chandapura,1.0,17.0,2,650.0,2615.3846153846152
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,1.0,20.0,2,800.0,2500.0
Super built-up  Area,Chandapura,2.0,25.88,2,1015.0,2549.753694581281
Super built-up  Area,Chandapura,1.0,11.66,1,530.0,2200.0
Super built-up  Area,Chandapura,3.0,45.0,3,1208.0,3725.1655629139073
Super built-up  Area,Chandapura,2.0,30.35,3,1190.0,2550.4201680672268
Super built-up  Area,Chandapura,2.0,32.0,2,1200.0,2666.6666666666665
Super built-up  Area,Chandapura,2.0,27.68,2,1025.0,2700.487804878049
Super built-up  Area,Chandapura,2.0,25.88,2,1015.0,2549.753694581281
Super built-up  Area,Chandapura,3.0,33.28,3,1305.0,2550.191570881226
Super built-up  Area,Chandapura,2.0,33.0,3,1065.0,3098.5915492957747
Built-up  Area,Chandapura,1.0,18.5,2,850.0,2176.470588235294
Super built-up  Area,Chandapura,2.0,27.0,2,1201.0,2248.1265611990007
Super built-up  Area,Chandapura,2.0,25.4,2,850.0,2988.235294117647
Super built-up  Area,Chandapura,1.0,13.57,1,590.0,2300.0
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,1.0,13.86,1,630.0,2200.0
Super built-up  Area,Chandapura,2.0,30.22,3,1185.0,2550.2109704641352
Super built-up  Area,Chandapura,2.0,25.88,2,1015.0,2549.753694581281
Super built-up  Area,Chandapura,2.0,43.0,3,1107.0,3884.3721770551037
Super built-up  Area,Chandapura,1.0,14.04,1,520.0,2700.0
Plot  Area,Chandapura,1.0,36.0,2,1200.0,3000.0
Super built-up  Area,Chandapura,2.0,24.86,2,975.0,2549.74358974359
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,2.0,25.12,2,985.0,2550.253807106599
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,2.0,24.86,2,975.0,2549.74358974359
Super built-up  Area,Chandapura,1.0,19.0,2,700.0,2714.285714285714
Super built-up  Area,Chandapura,2.0,30.35,3,1190.0,2550.4201680672268
Super built-up  Area,Chandapura,2.0,32.0,3,1095.0,2922.3744292237443
Built-up  Area,Chandapura,3.0,42.0,3,1208.51,3475.3539482503247
Super built-up  Area,Chandapura,2.0,29.5,2,876.0,3367.5799086757993
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,2.0,42.0,3,1505.0,2790.6976744186045
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,2.0,30.0,2,937.0,3201.7075773745996
Super built-up  Area,Chandapura,2.0,27.68,2,1025.0,2700.487804878049
Super built-up  Area,Chandapura,2.0,24.86,2,975.0,2549.74358974359
Super built-up  Area,Chandapura,2.0,25.0,2,800.0,3125.0
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,2.0,31.37,3,1230.0,2550.4065040650407
Super built-up  Area,Chandapura,2.0,25.65,2,950.0,2700.0
Plot  Area,Chandapura,2.0,36.0,2,1200.0,3000.0
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,2.0,36.0,2,922.0,3904.5553145336225
Super built-up  Area,Chandapura,2.0,29.97,3,1110.0,2700.0
Super built-up  Area,Chandapura,1.0,19.9,2,674.0,2952.522255192878
Super built-up  Area,Chandapura,3.0,33.08,3,1225.0,2700.408163265306
Super built-up  Area,Chandapura,3.0,33.28,3,1305.0,2550.191570881226
Super built-up  Area,Chandapura,2.0,31.37,3,1230.0,2550.4065040650407
Super built-up  Area,Chandapura,2.0,29.97,3,1110.0,2700.0
Super built-up  Area,Chandapura,2.0,25.12,2,985.0,2550.253807106599
Super built-up  Area,Chandapura,1.0,18.5,2,750.0,2466.6666666666665
Super built-up  Area,Chandapura,2.0,27.68,2,1025.0,2700.487804878049
Super built-up  Area,Chandapura,2.0,30.35,3,1190.0,2550.4201680672268
Super built-up  Area,Chandapura,2.0,25.88,2,1015.0,2549.753694581281
Super built-up  Area,Chandapura,2.0,39.5,3,1345.0,2936.8029739776953
Super built-up  Area,Chandapura,2.0,30.47,3,1033.0,2949.6611810261375
Super built-up  Area,Chandapura,2.0,38.0,3,971.0,3913.491246138002
Super built-up  Area,Chandapura,2.0,25.88,2,1015.0,2549.753694581281
Built-up  Area,Chandapura,1.0,30.0,2,800.0,3750.0
Super built-up  Area,Chandapura,2.0,30.22,3,1185.0,2550.2109704641352
Super built-up  Area,Chandapura,2.0,35.0,2,900.0,3888.8888888888887
Super built-up  Area,Chandapura,2.0,24.86,2,975.0,2549.74358974359
Super built-up  Area,Chandapura,1.0,14.04,1,520.0,2700.0
Super built-up  Area,Chandapura,2.0,31.37,3,1230.0,2550.4065040650407
Super built-up  Area,Chandapura,3.0,33.28,3,1305.0,2550.191570881226
Super built-up  Area,Chandapura,2.0,42.0,3,1323.0,3174.6031746031745
Super built-up  Area,Chandapura,1.0,10.0,1,410.0,2439.0243902439024
Super built-up  Area,Chandapura,2.0,25.12,2,985.0,2550.253807106599
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Super built-up  Area,Chandapura,1.0,16.45,1,645.0,2550.3875968992247
Plot  Area,Chandapura,2.0,36.0,2,1200.0,3000.0
Built-up  Area,Chandapura,1.0,22.0,2,740.0,2972.972972972973
Super built-up  Area,Chandapura,2.0,28.47,2,876.0,3250.0
Super built-up  Area,Chandapura,2.0,28.0,3,1095.0,2557.077625570776
Super built-up  Area,Chandapura,1.0,14.04,1,520.0,2700.0
Super built-up  Area,Chandra Layout,2.0,85.05,3,1260.0,6750.0
Built-up  Area,Chandra Layout,1.0,75.0,1,890.0,8426.966292134832
Super built-up  Area,Chandra Layout,3.0,130.0,3,1600.0,8125.0
Super built-up  Area,Chandra Layout,2.0,85.05,3,1260.0,6750.0
Plot  Area,Chandra Layout,2.0,190.0,3,1200.0,15833.333333333334
Built-up  Area,Channasandra,2.0,48.33,3,1340.0,3606.716417910448
Super built-up  Area,Channasandra,2.0,38.34,2,1009.0,3799.8017839445
Super built-up  Area,Channasandra,2.0,35.0,2,1065.0,3286.3849765258215
Super built-up  Area,Channasandra,2.0,90.0,3,1470.0,6122.448979591837
Super built-up  Area,Channasandra,2.0,33.45,2,1115.0,3000.0000000000005
Super built-up  Area,Channasandra,2.0,34.5,2,1030.0,3349.5145631067962
Built-up  Area,Channasandra,6.0,180.0,6,4200.0,4285.714285714285
Super built-up  Area,Channasandra,2.0,40.0,2,1115.0,3587.4439461883408
Plot  Area,Channasandra,3.0,67.77,3,1200.0,5647.5
Super built-up  Area,Channasandra,2.0,35.5,2,1104.0,3215.5797101449275
Super built-up  Area,Channasandra,2.0,55.0,2,1160.0,4741.379310344828
Super built-up  Area,Channasandra,2.0,41.0,2,1050.0,3904.7619047619046
Super built-up  Area,Channasandra,2.0,40.47,2,1065.0,3800.0
Super built-up  Area,Channasandra,2.0,45.0,3,1310.0,3435.114503816794
Super built-up  Area,Channasandra,2.0,38.0,2,1070.0,3551.4018691588785
Super built-up  Area,Channasandra,2.0,35.0,2,1050.0,3333.3333333333335
Super built-up  Area,Channasandra,2.0,34.0,2,1093.0,3110.704483074108
Built-up  Area,Channasandra,2.0,40.0,2,808.0,4950.495049504951
Super built-up  Area,Channasandra,2.0,36.0,2,1010.0,3564.3564356435645
Super built-up  Area,Channasandra,2.0,36.0,2,1123.0,3205.699020480855
Super built-up  Area,Channasandra,2.0,35.0,2,1000.0,3500.0
Plot  Area,Channasandra,4.0,89.45,4,1500.0,5963.333333333333
Super built-up  Area,Channasandra,2.0,51.83,3,1330.0,3896.9924812030076
Super built-up  Area,Channasandra,2.0,37.0,2,1093.0,3385.1784080512352
Super built-up  Area,Channasandra,2.0,35.8,2,1115.0,3210.7623318385645
Plot  Area,Channasandra,3.0,61.95,3,1500.0,4130.0
Built-up  Area,Channasandra,3.0,60.0,3,1800.0,3333.3333333333335
Super built-up  Area,Channasandra,2.0,36.28,2,830.0,4371.084337349397
Plot  Area,Channasandra,3.0,67.77,3,1200.0,5647.5
Super built-up  Area,Channasandra,2.0,56.0,3,1195.0,4686.192468619247
Super built-up  Area,Channasandra,2.0,38.0,2,1175.0,3234.0425531914893
Plot  Area,Channasandra,2.0,46.13,2,1200.0,3844.1666666666665
Super built-up  Area,Channasandra,2.0,36.0,2,1065.0,3380.281690140845
Super built-up  Area,Channasandra,2.0,44.41,2,1050.0,4229.523809523809
Super built-up  Area,Channasandra,2.0,32.0,2,1010.0,3168.3168316831684
Super built-up  Area,Channasandra Layout,2.0,40.0,2,1210.0,3305.785123966942
Super built-up  Area,Channasandra Layout,3.0,55.0,3,1535.0,3583.061889250814
Super built-up  Area,Channasandra Layout,2.0,50.0,2,1115.0,4484.304932735426
Built-up  Area,Channasandra Layout,6.0,165.0,5,3100.0,5322.580645161291
Super built-up  Area,Channasandra Layout,2.0,52.0,3,1563.0,3326.935380678183
Super built-up  Area,Chelekare,2.0,40.0,2,1180.0,3389.830508474576
Super built-up  Area,Chelekare,6.0,98.0,6,2400.0,4083.3333333333335
Super built-up  Area,Chelekare,2.0,62.4,2,1250.0,4992.0
Built-up  Area,Chelekare,2.0,45.0,2,1000.0,4500.0
Super built-up  Area,Chennammana Kere,2.0,56.87,2,1115.0,5100.448430493274
Super built-up  Area,Chennammana Kere,2.0,74.72,3,1465.0,5100.341296928327
Super built-up  Area,Chennammana Kere,2.0,56.1,2,1100.0,5100.0
Super built-up  Area,Chennammana Kere,2.0,58.4,2,1145.0,5100.436681222707
Super built-up  Area,Chennammana Kere,2.0,55.85,2,1095.0,5100.456621004566
Super built-up  Area,Chennammana Kere,2.0,52.79,2,1035.0,5100.48309178744
Super built-up  Area,Chennammana Kere,3.0,75.48,3,1480.0,5100.0
Super built-up  Area,Chennammana Kere,2.0,86.96,3,1705.0,5100.2932551319645
Super built-up  Area,Chennammanakere Achukattu,2.0,75.0,2,1260.0,5952.380952380952
Built-up  Area,Chennappa Layout,2.0,44.8,2,1080.0,4148.148148148148
Built-up  Area,Chennappa Layout,2.0,45.0,2,1050.0,4285.714285714285
Built-up  Area,Chennappa Layout,2.0,52.0,2,1220.0,4262.295081967213
Super built-up  Area,Chikka Banaswadi,2.0,65.0,2,1093.0,5946.935041171088
Built-up  Area,Chikka Banaswadi,2.0,75.0,2,1250.0,6000.0
Plot  Area,Chikka Tirupathi,5.0,120.0,4,2600.0,4615.384615384615
Plot  Area,Chikka Tirupathi,4.0,120.0,4,2325.0,5161.290322580645
Plot  Area,Chikka Tirupathi,4.0,80.27,3,1808.0,4439.712389380531
Plot  Area,Chikka Tirupathi,3.0,135.0,3,3297.0,4094.631483166515
Plot  Area,Chikka Tirupathi,5.0,150.0,4,3500.0,4285.714285714285
Plot  Area,Chikka Tirupathi,3.0,99.0,3,2646.0,3741.496598639456
Built-up  Area,Chikka Tirupathi,5.0,105.0,4,2704.0,3883.1360946745563
Plot  Area,Chikka Tirupathi,3.0,95.0,3,2325.0,4086.021505376344
Plot  Area,Chikka Tirupathi,4.0,120.0,4,2325.0,5161.290322580645
Built-up  Area,Chikka Tirupathi,4.0,136.0,4,3250.0,4184.615384615385
Plot  Area,Chikka Tirupathi,5.0,125.0,4,2665.0,4690.431519699812
Built-up  Area,Chikkabanavar,2.0,40.0,2,950.0,4210.526315789473
Plot  Area,Chikkabanavar,2.0,80.0,3,1600.0,5000.0
Super built-up  Area,Chikkabanavar,1.0,25.0,2,600.0,4166.666666666667
Built-up  Area,Chikkabanavar,4.0,97.0,5,2400.0,4041.6666666666665
Built-up  Area,Chikkabanavar,4.0,65.0,5,2000.0,3250.0
Super built-up  Area,Chikkabanavar,2.0,38.0,2,1067.0,3561.3870665417057
Super built-up  Area,Chikkabanavar,2.0,46.0,3,1320.0,3484.848484848485
Built-up  Area,Chikkabanavar,7.0,110.0,8,4000.0,2750.0
Super built-up  Area,Chikkadunnasandra,3.0,51.0,3,1398.0,3648.068669527897
Super built-up  Area,Chikkadunnasandra,2.0,52.0,3,1397.0,3722.2619899785254
Super built-up  Area,Chikkadunnasandra,2.0,45.0,2,1200.0,3750.0
Super built-up  Area,Chikkakannalli,2.0,85.0,3,1402.0,6062.767475035664
Super built-up  Area,Chikkalasandra,2.0,56.12,3,1290.0,4350.387596899225
Built-up  Area,Chikkalasandra,2.0,50.0,2,1100.0,4545.454545454545
Super built-up  Area,Chikkalasandra,2.0,49.0,2,1208.0,4056.291390728477
Carpet  Area,Chikkalasandra,2.0,52.8,2,875.0,6034.285714285715
Built-up  Area,Chikkalasandra,2.0,50.0,3,1375.0,3636.3636363636365
Built-up  Area,Chikkalasandra,1.0,128.0,2,1800.0,7111.111111111111
Built-up  Area,Chikkalasandra,2.0,50.0,2,1070.0,4672.897196261682
Super built-up  Area,Chikkalasandra,2.0,48.0,2,1230.0,3902.439024390244
Built-up  Area,Chikkalasandra,2.0,80.0,3,1428.0,5602.240896358543
Super built-up  Area,Chikkalasandra,2.0,42.8,2,1070.0,4000.0
Super built-up  Area,Chikkalasandra,2.0,52.4,3,1310.0,4000.0
Super built-up  Area,Chikkalasandra,2.0,55.25,3,1270.0,4350.393700787402
Super built-up  Area,Chikkalasandra,2.0,49.0,3,1365.0,3589.74358974359
Super built-up  Area,Chikkalasandra,2.0,46.76,2,1075.0,4349.767441860465
Super built-up  Area,Chikkalasandra,2.0,53.51,3,1230.0,4350.40650406504
Super built-up  Area,Chikkalasandra,2.0,56.12,3,1290.0,4350.387596899225
Super built-up  Area,Chikkalasandra,2.0,45.48,2,1070.0,4250.467289719626
Super built-up  Area,Chikkalasandra,2.0,50.0,2,1100.0,4545.454545454545
Super built-up  Area,Chikkalasandra,2.0,60.47,3,1390.0,4350.359712230216
Super built-up  Area,Chikkalasandra,2.0,53.12,3,1265.0,4199.209486166008
Built-up  Area,Chikkalasandra,2.0,45.0,2,1224.0,3676.470588235294
Super built-up  Area,Chikkalasandra,2.0,47.42,2,1090.0,4350.45871559633
Super built-up  Area,Chikkalasandra,3.0,54.2,3,1355.0,4000.0
Built-up  Area,Chikkalasandra,2.0,54.2,3,1350.0,4014.814814814815
Built-up  Area,Chikkalasandra,2.0,59.0,2,1325.0,4452.830188679245
Super built-up  Area,Chikkalasandra,2.0,72.0,2,1290.0,5581.395348837209
Super built-up  Area,Chikkalasandra,2.0,55.46,3,1275.0,4349.803921568628
Built-up  Area,Chikkalasandra,1.0,54.0,3,1425.0,3789.4736842105262
Plot  Area,Chikkasandra,1.0,52.0,2,600.0,8666.666666666666
Built-up  Area,Chikkathoguru,2.0,46.0,2,1113.0,4132.973944294699
Built-up  Area,Chikkathoguru,2.0,42.0,2,1045.0,4019.1387559808613
Super built-up  Area,Chikku Lakshmaiah Layout,2.0,285.0,3,2292.0,12434.554973821989
Super built-up  Area,Chinnapanahalli,2.0,48.0,2,1225.0,3918.3673469387754
Built-up  Area,Chinnapanahalli,2.0,40.0,2,1020.0,3921.5686274509803
Super built-up  Area,Chinnapanahalli,2.0,41.0,2,980.0,4183.673469387755
Super built-up  Area,Chokkanahalli,2.0,69.0,2,1266.67,5447.3540859103
Built-up  Area,Cholanayakanahalli,3.0,205.0,3,2511.0,8164.078056551175
Super built-up  Area,Cholanayakanahalli,2.0,75.0,3,1370.0,5474.4525547445255
Plot  Area,Cholanayakanahalli,2.0,50.0,1,750.0,6666.666666666667
Super built-up  Area,Cholanayakanahalli,4.0,135.0,4,2000.0,6750.0
Plot  Area,Cholanayakanahalli,2.0,95.0,2,1300.0,7307.692307692308
Super built-up  Area,Choodasandra,2.0,50.0,2,1115.0,4484.304932735426
Super built-up  Area,Choodasandra,2.0,57.0,2,1300.0,4384.615384615385
Super built-up  Area,Choodasandra,3.0,77.0,3,1530.0,5032.679738562091
Super built-up  Area,Choodasandra,3.0,56.0,3,1220.0,4590.163934426229
Super built-up  Area,Choodasandra,3.0,56.0,3,1220.0,4590.163934426229
Super built-up  Area,Choodasandra,2.0,63.0,2,1197.0,5263.1578947368425
Super built-up  Area,Choodasandra,3.0,75.0,3,1465.0,5119.453924914676
Super built-up  Area,Choodasandra,2.0,50.0,2,1115.0,4484.304932735426
Super built-up  Area,Choodasandra,2.0,59.0,2,1215.0,4855.9670781893
Super built-up  Area,Choodasandra,2.0,65.0,3,1254.0,5183.413078149921
Super built-up  Area,Choodasandra,3.0,105.0,3,1580.0,6645.569620253164
Super built-up  Area,Choodasandra,2.0,36.0,2,725.0,4965.517241379311
Built-up  Area,Choodasandra,3.0,210.0,4,2429.0,8645.533141210375
Super built-up  Area,Choodasandra,3.0,56.0,3,1220.0,4590.163934426229
Super built-up  Area,Choodasandra,2.0,45.0,2,1075.0,4186.046511627907
Super built-up  Area,Choodasandra,2.0,71.22,2,1180.0,6035.593220338983
Built-up  Area,Choodasandra,2.0,62.0,2,1140.0,5438.596491228071
Super built-up  Area,Choodasandra,3.0,56.0,3,1220.0,4590.163934426229
Super built-up  Area,Choodasandra,3.0,78.0,3,1560.0,5000.0
Built-up  Area,Choodasandra,2.0,46.0,2,1065.0,4319.24882629108
Super built-up  Area,Choodasandra,2.0,50.0,2,1115.0,4484.304932735426
Super built-up  Area,Choodasandra,3.0,56.0,3,1220.0,4590.163934426229
Super built-up  Area,Choodasandra,2.0,50.0,2,1115.0,4484.304932735426
Built-up  Area,Church Street,4.0,536.0,4,2920.0,18356.164383561645
Plot  Area,Classic Paradise Layout,5.0,145.0,5,1560.0,9294.871794871795
Built-up  Area,Cleveland Town,3.0,160.0,3,1991.0,8036.162732295329
Built-up  Area,Coconut Grove Layout,2.0,43.0,2,1007.0,4270.109235352532
Super built-up  Area,Coconut Grove Layout,2.0,51.5,2,1272.0,4048.7421383647797
Super built-up  Area,Coconut Grove Layout,2.0,46.0,2,1156.0,3979.2387543252594
Built-up  Area,Coconut Grove Layout,2.0,48.0,2,1007.0,4766.633565044687
Super built-up  Area,Coffee Board Layout,3.0,170.0,3,3045.0,5582.922824302134
Super built-up  Area,Coffee Board Layout,3.0,90.0,3,1652.5,5446.293494704993
Super built-up  Area,Cooke Town,4.0,450.0,4,3950.0,11392.405063291139
Built-up  Area,Cooke Town,4.0,239.0,3,2388.0,10008.375209380234
Super built-up  Area,Cooke Town,2.0,200.0,2,1710.0,11695.906432748538
Super built-up  Area,Cooke Town,2.0,111.0,2,1310.0,8473.282442748092
Super built-up  Area,Cooke Town,5.0,415.0,4,3900.0,10641.02564102564
Super built-up  Area,Cooke Town,4.0,310.0,3,2560.0,12109.375
Plot  Area,Cooke Town,3.0,375.0,3,2600.0,14423.076923076924
Super built-up  Area,Cooke Town,2.0,90.0,2,1100.0,8181.818181818182
Super built-up  Area,Cooke Town,3.0,250.0,3,2300.0,10869.565217391304
Super built-up  Area,Cox Town,3.0,150.0,3,1975.0,7594.93670886076
Super built-up  Area,Cox Town,3.0,100.0,3,1650.0,6060.606060606061
Super built-up  Area,Cox Town,3.0,140.0,3,1730.0,8092.485549132948
Super built-up  Area,Cox Town,3.0,150.0,3,1600.0,9375.0
Super built-up  Area,Cox Town,2.0,95.0,2,1250.0,7600.0
Built-up  Area,Cox Town,2.0,120.0,2,1280.0,9375.0
Built-up  Area,Cox Town,2.0,72.0,2,1073.0,6710.158434296365
Super built-up  Area,Cox Town,2.0,58.0,2,1000.0,5800.0
Super built-up  Area,Cox Town,2.0,140.0,2,1200.0,11666.666666666666
Super built-up  Area,Crimson Layout,2.0,60.0,2,1250.0,4800.0
Super built-up  Area,Cunningham Road,4.0,1250.0,4,5270.0,23719.165085388995
Super built-up  Area,Cunningham Road,3.0,864.0,3,3875.0,22296.774193548386
Super built-up  Area,Cunningham Road,3.0,800.0,3,3875.0,20645.16129032258
Super built-up  Area,Cunningham Road,3.0,763.0,3,3815.0,20000.0
Super built-up  Area,Cunningham Road,3.0,501.0,3,2880.0,17395.833333333332
Super built-up  Area,Cunningham Road,3.0,662.0,3,3489.0,18973.91802808828
Super built-up  Area,Cunningham Road,3.0,800.0,3,4170.0,19184.65227817746
Super built-up  Area,Cunningham Road,5.0,995.0,4,5108.0,19479.24823805795
Super built-up  Area,Cunningham Road,3.0,501.0,3,2700.0,18555.555555555555
Plot  Area,Cunningham Road,6.0,1800.0,4,7500.0,24000.0
Super built-up  Area,Cunningham Road,3.0,560.0,3,2880.0,19444.444444444445
Super built-up  Area,D Group Employees Layout,4.0,230.0,4,1200.0,19166.666666666668
Super built-up  Area,Daadys Gaarden Layout,3.0,72.0,3,1600.0,4500.0
Super built-up  Area,Dairy Circle,3.0,225.0,3,1855.0,12129.380053908355
Super built-up  Area,Dairy Circle,3.0,224.0,3,1980.0,11313.131313131313
Super built-up  Area,Dairy Circle,6.0,450.0,4,3730.0,12064.343163538873
Super built-up  Area,Dairy Circle,6.0,430.0,4,3754.0,11454.448588172616
Super built-up  Area,Dairy Circle,6.0,480.0,4,3754.0,12786.361214704315
Super built-up  Area,Dairy Circle,2.0,181.0,2,1541.0,11745.619727449708
Super built-up  Area,Dairy Circle,4.0,340.0,3,2735.0,12431.44424131627
Super built-up  Area,Dairy Circle,6.0,430.0,4,3730.0,11528.150134048257
Super built-up  Area,Dasanapura,2.0,37.0,2,708.0,5225.988700564972
Super built-up  Area,Dasanapura,1.0,40.0,2,708.0,5649.717514124294
Built-up  Area,Dasanapura,2.0,42.5,2,965.0,4404.145077720207
Super built-up  Area,Dasanapura,3.0,61.44,3,1286.0,4777.604976671851
Super built-up  Area,Dasanapura,2.0,42.0,2,814.0,5159.7051597051595
Built-up  Area,Dasanapura,2.0,65.0,2,1163.0,5588.993981083405
Super built-up  Area,Dasanapura,2.0,68.0,3,1286.0,5287.713841368584
Super built-up  Area,Dasanapura,2.0,31.15,2,708.0,4399.717514124294
Super built-up  Area,Dasanapura,1.0,41.0,1,708.0,5790.960451977401
Super built-up  Area,Dasanapura,2.0,43.7,2,814.0,5368.550368550368
Super built-up  Area,Dasarahalli,2.0,65.0,2,1295.0,5019.305019305019
Super built-up  Area,Dasarahalli,2.0,75.0,3,1520.0,4934.210526315789
Built-up  Area,Dasarahalli,2.0,70.0,2,1150.0,6086.95652173913
Super built-up  Area,Dasarahalli,3.0,120.0,3,2100.0,5714.285714285715
Super built-up  Area,Dasarahalli,2.0,52.0,2,1220.0,4262.295081967213
Super built-up  Area,Dasarahalli,2.0,60.0,2,1375.0,4363.636363636364
Super built-up  Area,Dasarahalli,2.0,78.56,2,1333.0,5893.473368342085
Super built-up  Area,Dasarahalli,2.0,62.0,2,1220.0,5081.9672131147545
Super built-up  Area,Defence Colony,2.0,126.0,2,1150.0,10956.521739130434
Super built-up  Area,Defence Colony,4.0,986.0,4,6600.0,14939.39393939394
Built-up  Area,Defence Colony,2.0,125.0,2,1150.0,10869.565217391304
Super built-up  Area,Defence Colony,4.0,365.0,4,2800.0,13035.714285714286
Built-up  Area,Defence Colony,2.0,172.0,2,1270.0,13543.307086614173
Built-up  Area,Dena Bank Colony,2.0,75.0,2,1100.0,6818.181818181818
Super built-up  Area,Devanahalli,2.0,66.78,2,1260.0,5300.0
Super built-up  Area,Devanahalli,2.0,68.52,3,1282.0,5344.773790951638
Super built-up  Area,Devanahalli,2.0,65.0,2,1360.0,4779.411764705882
Super built-up  Area,Devanahalli,2.0,85.0,2,1408.0,6036.931818181818
Super built-up  Area,Devanahalli,2.0,51.0,2,1010.0,5049.504950495049
Super built-up  Area,Devanahalli,2.0,53.35,2,1080.0,4939.814814814815
Plot  Area,Devanahalli,5.0,100.0,5,2400.0,4166.666666666667
Super built-up  Area,Devanahalli,2.0,44.0,2,1080.0,4074.074074074074
Super built-up  Area,Devanahalli,2.0,52.43,3,1282.0,4089.703588143526
Super built-up  Area,Devanahalli,2.0,59.0,2,1174.0,5025.553662691653
Super built-up  Area,Devanahalli,1.0,34.0,1,658.0,5167.173252279636
Super built-up  Area,Devanahalli,1.0,26.91,1,658.0,4089.665653495441
Super built-up  Area,Devanahalli,2.0,52.0,2,1080.0,4814.814814814815
Super built-up  Area,Devanahalli,3.0,79.15,3,1498.0,5283.711615487317
Super built-up  Area,Devanahalli,3.0,77.59,3,1466.0,5292.633015006822
Super built-up  Area,Devanahalli,1.0,39.0,1,775.0,5032.258064516129
Super built-up  Area,Devanahalli,2.0,49.87,1,1020.0,4889.21568627451
Super built-up  Area,Devanahalli,2.0,48.0,2,1045.0,4593.301435406698
Super built-up  Area,Devanahalli,3.0,85.0,3,1550.0,5483.870967741936
Super built-up  Area,Devanahalli,2.0,55.08,3,1200.0,4590.0
Super built-up  Area,Devanahalli,2.0,65.0,2,1340.0,4850.746268656716
Built-up  Area,Devanahalli,3.0,107.0,3,2125.0,5035.294117647059
Super built-up  Area,Devanahalli,2.0,56.45,2,1230.0,4589.430894308943
Super built-up  Area,Devanahalli,1.0,26.91,1,658.0,4089.665653495441
Super built-up  Area,Devanahalli,2.0,62.0,3,1290.0,4806.201550387597
Built-up  Area,Devanahalli,2.0,58.0,2,1010.0,5742.574257425743
Super built-up  Area,Devanahalli,3.0,59.96,3,1466.0,4090.0409276944065
Super built-up  Area,Devanahalli,2.0,69.76,3,1520.0,4589.473684210527
Super built-up  Area,Devanahalli Int. Airport,2.0,80.0,2,1380.0,5797.101449275362
Super built-up  Area,Devanahalli Int. Airport,2.0,62.0,2,1080.0,5740.740740740741
Super built-up  Area,Devarachikkanahalli,2.0,58.0,2,1230.0,4715.447154471544
Built-up  Area,Devasthanagalu,3.0,70.0,3,1460.0,4794.520547945205
Built-up  Area,Devasthanagalu,2.0,45.0,2,1090.0,4128.440366972477
Super built-up  Area,Devasthanagalu,2.0,45.0,2,946.0,4756.871035940803
Built-up  Area,Devasthanagalu,2.0,60.0,3,1470.0,4081.6326530612246
